FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2,ID_CARGA,DOSIS_3
18FEB2021:00:00:00,41 a 50,M,Sputnik,Privado,147,7,,0
18FEB2021:00:00:00,41 a 50,M,Sputnik,Público,178,26,,0
18FEB2021:00:00:00,41 a 50,M,Sputnik,Público nacional,21,4,,0
18FEB2021:00:00:00,51 a 60,F,Sputnik,Privado,186,5,,0
18FEB2021:00:00:00,51 a 60,F,Sputnik,Público,508,13,,0
18FEB2021:00:00:00,51 a 60,F,Sputnik,Público nacional,70,4,,0
18FEB2021:00:00:00,51 a 60,M,Sputnik,Privado,120,0,,0
18FEB2021:00:00:00,51 a 60,M,Sputnik,Público,205,11,,0
18FEB2021:00:00:00,51 a 60,M,Sputnik,Público nacional,25,5,,0
18FEB2021:00:00:00,61 a 70,F,Sputnik,Privado,67,0,,0
18FEB2021:00:00:00,61 a 70,F,Sputnik,Público,299,3,,0
18FEB2021:00:00:00,61 a 70,F,Sputnik,Público nacional,24,1,,0
18FEB2021:00:00:00,61 a 70,M,Sputnik,Privado,71,0,,0
18FEB2021:00:00:00,61 a 70,M,Sputnik,Público,184,2,,0
18FEB2021:00:00:00,61 a 70,M,Sputnik,Público nacional,12,0,,0
18FEB2021:00:00:00,71 a 80,F,Sputnik,Privado,5,0,,0
18FEB2021:00:00:00,71 a 80,F,Sputnik,Público,90,0,,0
18FEB2021:00:00:00,71 a 80,M,Sputnik,Privado,15,0,,0
18FEB2021:00:00:00,71 a 80,M,Sputnik,Público,63,0,,0
18FEB2021:00:00:00,71 a 80,M,Sputnik,Público nacional,1,0,,0
18FEB2021:00:00:00,81 a 90,F,Sputnik,Público,6,0,,0
18FEB2021:00:00:00,81 a 90,M,Sputnik,Privado,3,0,,0
18FEB2021:00:00:00,81 a 90,M,Sputnik,Público,16,0,,0
19FEB2021:00:00:00,30 o menos,F,Sputnik,Privado,172,5,,0
19FEB2021:00:00:00,30 o menos,F,Sputnik,Público,295,24,,0
19FEB2021:00:00:00,30 o menos,F,Sputnik,Público nacional,38,6,,0
19FEB2021:00:00:00,30 o menos,M,Sputnik,Privado,67,0,,0
20JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
20JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,1,0,,0
20JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,1,,0
21JAN2021:00:00:00,30 o menos,F,Sputnik,Público,4,19,,0
21JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,6,0,,0
21JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,0,,0
21JAN2021:00:00:00,30 o menos,M,Sputnik,Público,8,13,,0
21JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,1,0,,0
21JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,1,0,,0
21JAN2021:00:00:00,31 a 40,F,Sputnik,Público,14,32,,0
21JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,6,0,,0
21JAN2021:00:00:00,31 a 40,M,Sputnik,Público,2,35,,0
21JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,8,0,,0
21JAN2021:00:00:00,41 a 50,F,Sputnik,Público,17,36,,0
21JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,11,0,,0
21JAN2021:00:00:00,41 a 50,M,Sputnik,Público,8,23,,0
21JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,4,0,,0
21JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,1,0,,0
21JAN2021:00:00:00,51 a 60,F,Sputnik,Público,12,22,,0
21JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,6,0,,0
21JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,12,,0
21JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,2,0,,0
21JAN2021:00:00:00,61 a 70,F,Sputnik,Público nacional,1,0,,0
21JAN2021:00:00:00,61 a 70,M,Sputnik,Público,3,1,,0
21JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,,0
22JAN2021:00:00:00,30 o menos,F,Sputnik,Público,3,7,,0
22JAN2021:00:00:00,30 o menos,M,Sputnik,Público,1,5,,0
22JAN2021:00:00:00,31 a 40,F,Sputnik,Público,3,12,,0
22JAN2021:00:00:00,31 a 40,M,Sputnik,Público,1,12,,0
22JAN2021:00:00:00,41 a 50,F,Sputnik,Público,3,14,,0
22JAN2021:00:00:00,41 a 50,M,Sputnik,Público,2,10,,0
22JAN2021:00:00:00,51 a 60,F,Sputnik,Público,3,5,,0
22JAN2021:00:00:00,51 a 60,M,Sputnik,Público,1,1,,0
22JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,1,,0
22JAN2021:00:00:00,61 a 70,M,Sputnik,Público nacional,1,0,,0
23JAN2021:00:00:00,30 o menos,F,Sputnik,Público,3,18,,0
23JAN2021:00:00:00,30 o menos,M,Sputnik,Público,1,9,,0
23JAN2021:00:00:00,31 a 40,F,Sputnik,Público,14,64,,0
23JAN2021:00:00:00,31 a 40,M,Sputnik,Público,3,42,,0
23JAN2021:00:00:00,41 a 50,F,Sputnik,Público,10,50,,0
23JAN2021:00:00:00,41 a 50,M,Sputnik,Público,4,35,,0
23JAN2021:00:00:00,51 a 60,F,Sputnik,Público,2,38,,0
23JAN2021:00:00:00,51 a 60,M,Sputnik,Público,4,19,,0
23JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,1,,0
24JAN2021:00:00:00,30 o menos,F,Sputnik,Público,3,6,,0
24JAN2021:00:00:00,30 o menos,M,Sputnik,Público,1,4,,0
24JAN2021:00:00:00,31 a 40,F,Sputnik,Público,6,31,,0
24JAN2021:00:00:00,31 a 40,M,Sputnik,Público,1,19,,0
24JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,1,0,,0
24JAN2021:00:00:00,41 a 50,F,Sputnik,Público,1,23,,0
24JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,1,0,,0
24JAN2021:00:00:00,41 a 50,M,Sputnik,Público,1,10,,0
24JAN2021:00:00:00,51 a 60,F,Sputnik,Público,3,13,,0
24JAN2021:00:00:00,51 a 60,M,Sputnik,Público,2,6,,0
25JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,2,8,,0
25JAN2021:00:00:00,30 o menos,F,Sputnik,Público,12,56,,0
25JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,1,2,,0
25JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,5,,0
25JAN2021:00:00:00,30 o menos,M,Sputnik,Público,5,35,,0
25JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,15,,0
25JAN2021:00:00:00,31 a 40,F,Sputnik,Público,13,117,,0
25JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,4,,0
25JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,8,,0
25JAN2021:00:00:00,31 a 40,M,Sputnik,Público,11,63,,0
25JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,3,,0
25JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,8,,0
25JAN2021:00:00:00,41 a 50,F,Sputnik,Público,17,116,,0
25JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,3,1,,0
25JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,3,,0
25JAN2021:00:00:00,41 a 50,M,Sputnik,Público,9,65,,0
25JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,3,,0
25JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,4,,0
25JAN2021:00:00:00,51 a 60,F,Sputnik,Público,12,75,,0
25JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,1,1,,0
25JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,2,,0
25JAN2021:00:00:00,51 a 60,M,Sputnik,Público,5,59,,0
25JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,3,1,,0
25JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,1,,0
25JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,0,1,,0
25JAN2021:00:00:00,61 a 70,M,Sputnik,Público,0,1,,0
26JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,1,11,,0
26JAN2021:00:00:00,30 o menos,F,Sputnik,Público,9,78,,0
26JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,9,,0
26JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,2,,0
26JAN2021:00:00:00,30 o menos,M,Sputnik,Público,3,34,,0
26JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,3,2,,0
26JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,1,22,,0
26JAN2021:00:00:00,31 a 40,F,Sputnik,Público,23,126,,0
26JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,2,15,,0
26JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,1,16,,0
26JAN2021:00:00:00,31 a 40,M,Sputnik,Público,17,104,,0
26JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,3,6,,0
26JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,2,19,,0
26JAN2021:00:00:00,41 a 50,F,Sputnik,Público,27,142,,0
26JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,7,22,,0
26JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,1,4,,0
26JAN2021:00:00:00,41 a 50,M,Sputnik,Público,8,88,,0
26JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,2,7,,0
26JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,6,,0
26JAN2021:00:00:00,51 a 60,F,Sputnik,Público,18,102,,0
26JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,3,13,,0
26JAN2021:00:00:00,51 a 60,M,Sputnik,Público,9,61,,0
26JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,6,6,,0
26JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,4,,0
26JAN2021:00:00:00,61 a 70,M,Sputnik,Privado,1,0,,0
26JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,2,,0
27JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,1,,0
27JAN2021:00:00:00,30 o menos,F,Sputnik,Público,14,94,,0
27JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,6,,0
27JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,1,3,,0
27JAN2021:00:00:00,30 o menos,M,Sputnik,Público,5,60,,0
27JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,6,,0
27JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,1,8,,0
27JAN2021:00:00:00,31 a 40,F,Sputnik,Público,19,153,,0
27JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,14,,0
27JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,14,,0
27JAN2021:00:00:00,31 a 40,M,Sputnik,Público,14,131,,0
27JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,11,,0
27JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,14,,0
27JAN2021:00:00:00,41 a 50,F,Sputnik,Público,24,151,,0
27JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,1,5,,0
27JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,0,10,,0
27JAN2021:00:00:00,41 a 50,M,Sputnik,Público,11,87,,0
27JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,10,,0
27JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,2,,0
27JAN2021:00:00:00,51 a 60,F,Sputnik,Público,17,133,,0
27JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,3,,0
27JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,5,,0
27JAN2021:00:00:00,51 a 60,M,Sputnik,Público,8,64,,0
27JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,5,,0
27JAN2021:00:00:00,61 a 70,F,Sputnik,Público,0,1,,0
27JAN2021:00:00:00,61 a 70,M,Sputnik,Público,2,0,,0
28JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,9,,0
28JAN2021:00:00:00,30 o menos,F,Sputnik,Público,8,119,,0
28JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,7,,0
28JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,6,,0
28JAN2021:00:00:00,30 o menos,M,Sputnik,Público,4,64,,0
28JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,2,,0
28JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,0,21,,0
28JAN2021:00:00:00,31 a 40,F,Sputnik,Público,26,217,,0
28JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,9,,0
28JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,0,16,,0
28JAN2021:00:00:00,31 a 40,M,Sputnik,Público,20,108,,0
28JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,0,8,,0
28JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,0,14,,0
28JAN2021:00:00:00,41 a 50,F,Sputnik,Público,23,182,,0
28JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,0,6,,0
28JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,1,9,,0
28JAN2021:00:00:00,41 a 50,M,Sputnik,Público,8,104,,0
28JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,1,5,,0
28JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,0,5,,0
28JAN2021:00:00:00,51 a 60,F,Sputnik,Público,20,132,,0
28JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,0,4,,0
28JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,0,2,,0
28JAN2021:00:00:00,51 a 60,M,Sputnik,Público,4,93,,0
28JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,0,4,,0
28JAN2021:00:00:00,61 a 70,M,Sputnik,Público,1,0,,0
29JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,0,32,,0
29JAN2021:00:00:00,30 o menos,F,Sputnik,Público,3,142,,0
29JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,0,11,,0
29JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,0,22,,0
29JAN2021:00:00:00,30 o menos,M,Sputnik,Público,1,75,,0
29JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,0,5,,0
29JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,3,40,,0
29JAN2021:00:00:00,31 a 40,F,Sputnik,Público,10,301,,0
29JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,0,20,,0
29JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,3,49,,0
15JAN2021:00:00:00,31 a 40,F,Sputnik,Público,469,0,,0
15JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,50,0,,0
15JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,160,0,,0
15JAN2021:00:00:00,31 a 40,M,Sputnik,Público,278,0,,0
15JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,27,0,,0
15JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,164,0,,0
15JAN2021:00:00:00,41 a 50,F,Sputnik,Público,396,0,,0
15JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,51,0,,0
15JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,95,0,,0
15JAN2021:00:00:00,41 a 50,M,Sputnik,Público,180,0,,0
15JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,31,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,72,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Público,283,0,,0
15JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,27,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,48,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público,146,0,,0
15JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,12,0,,0
15JAN2021:00:00:00,61 a 70,F,Sputnik,Privado,2,0,,0
15JAN2021:00:00:00,61 a 70,F,Sputnik,Público,1,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,41,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público,99,0,,0
16JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,13,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,21,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público,68,0,,0
16JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,7,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,95,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público,205,0,,0
16JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,27,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,56,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público,101,0,,0
16JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,19,0,,0
16JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,35,0,,0
16JAN2021:00:00:00,41 a 50,F,Sputnik,Público,190,0,,0
16JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,18,0,,0
16JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,,0
16JAN2021:00:00:00,41 a 50,M,Sputnik,Público,96,0,,0
16JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,5,0,,0
16JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,22,0,,0
16JAN2021:00:00:00,51 a 60,F,Sputnik,Público,102,0,,0
16JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,8,0,,0
16JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,16,0,,0
16JAN2021:00:00:00,51 a 60,M,Sputnik,Público,61,0,,0
16JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,5,0,,0
17JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,49,0,,0
17JAN2021:00:00:00,30 o menos,F,Sputnik,Público,36,0,,0
17JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,8,0,,0
17JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,24,0,,0
17JAN2021:00:00:00,30 o menos,M,Sputnik,Público,25,0,,0
17JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,17,0,,0
17JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,96,0,,0
17JAN2021:00:00:00,31 a 40,F,Sputnik,Público,107,0,,0
17JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,11,0,,0
17JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,40,0,,0
17JAN2021:00:00:00,31 a 40,M,Sputnik,Público,60,0,,0
17JAN2021:00:00:00,31 a 40,M,Sputnik,Público nacional,13,0,,0
17JAN2021:00:00:00,41 a 50,F,Sputnik,Privado,40,0,,0
17JAN2021:00:00:00,41 a 50,F,Sputnik,Público,100,0,,0
17JAN2021:00:00:00,41 a 50,F,Sputnik,Público nacional,13,0,,0
17JAN2021:00:00:00,41 a 50,M,Sputnik,Privado,20,0,,0
17JAN2021:00:00:00,41 a 50,M,Sputnik,Público,41,0,,0
17JAN2021:00:00:00,41 a 50,M,Sputnik,Público nacional,11,0,,0
17JAN2021:00:00:00,51 a 60,F,Sputnik,Privado,16,0,,0
17JAN2021:00:00:00,51 a 60,F,Sputnik,Público,59,0,,0
17JAN2021:00:00:00,51 a 60,F,Sputnik,Público nacional,9,0,,0
17JAN2021:00:00:00,51 a 60,M,Sputnik,Privado,10,0,,0
17JAN2021:00:00:00,51 a 60,M,Sputnik,Público,23,0,,0
17JAN2021:00:00:00,51 a 60,M,Sputnik,Público nacional,1,0,,0
18JAN2021:00:00:00,30 o menos,F,Sputnik,Privado,6,0,,0
18JAN2021:00:00:00,30 o menos,F,Sputnik,Público,31,0,,0
18JAN2021:00:00:00,30 o menos,F,Sputnik,Público nacional,17,0,,0
18JAN2021:00:00:00,30 o menos,M,Sputnik,Privado,4,0,,0
18JAN2021:00:00:00,30 o menos,M,Sputnik,Público,15,0,,0
18JAN2021:00:00:00,30 o menos,M,Sputnik,Público nacional,9,0,,0
18JAN2021:00:00:00,31 a 40,F,Sputnik,Privado,25,0,,0
18JAN2021:00:00:00,31 a 40,F,Sputnik,Público,51,0,,0
18JAN2021:00:00:00,31 a 40,F,Sputnik,Público nacional,28,0,,0
18JAN2021:00:00:00,31 a 40,M,Sputnik,Privado,10,0,,0
18JAN2021:00:00:00,31 a 40,M,Sputnik,Público,36,0,,0
