id,Humidity,Wind_Speed_kmh,rumbo_viento_grados,visibilidad_km,presion_mbar,lluvia,descripcion,temperatura
159,0.83,20.56,309.0,9.98,1013.33,si,Cold,3.77
160,0.57,8.0,24.0,11.45,1011.76,si,Normal,17.56
161,0.88,3.27,324.0,2.16,1023.86,no,Cold,-1.43
162,0.65,4.23,11.0,10.35,1021.55,si,Warm,21.52
163,0.83,3.06,179.0,4.91,1026.39,si,Cold,0.33
164,0.77,9.56,254.0,9.98,1026.78,si,Normal,11.07
165,0.38,15.33,341.0,10.26,1020.69,si,Warm,27.83
166,0.9,0.0,0.0,15.83,1023.21,si,Normal,16.6
167,0.84,3.16,158.0,15.87,1016.36,si,Normal,15.62
168,0.58,13.28,189.0,15.26,1012.91,si,Warm,26.13
169,0.52,17.9,320.0,10.4,1013.16,si,Warm,21.14
170,0.33,7.24,135.0,9.98,1016.26,si,Warm,28.91
171,0.63,21.67,10.0,9.98,1021.4,si,Normal,17.13
172,0.71,20.98,301.0,11.27,1017.38,si,Normal,12.78
173,0.29,9.47,352.0,10.35,1018.18,si,Warm,30.64
174,0.93,9.66,181.0,9.0,1020.13,si,Cold,0.59
175,0.81,9.29,139.0,9.98,1028.0,si,Normal,11.09
176,0.93,7.5,101.0,0.79,1022.49,si,Normal,11.14
177,0.53,12.57,10.0,9.98,1018.46,si,Warm,22.2
178,0.31,12.35,351.0,11.27,1018.51,si,Warm,31.93
179,0.92,7.05,253.0,15.87,1018.68,si,Normal,11.76
180,0.76,11.32,209.0,15.83,1006.87,si,Normal,8.41
181,0.34,8.05,150.0,9.98,1016.0,si,Warm,27.22
182,0.89,32.2,330.0,16.1,999.5,si,Normal,10.0
183,0.93,3.7,48.0,7.45,1021.0,si,Normal,6.08
184,0.95,3.33,112.0,9.9,1013.0,si,Normal,10.67
185,0.81,13.62,150.0,15.52,1011.01,si,Normal,11.19
186,0.52,19.92,328.0,11.27,1011.37,si,Normal,12.87
187,0.73,3.22,90.0,15.83,1020.3,si,Normal,15.33
188,0.6,20.69,281.0,9.98,1024.11,si,Cold,2.22
189,0.46,4.88,51.0,11.27,1027.29,si,Cold,2.17
190,0.96,10.96,115.0,4.33,1028.57,no,Cold,-1.77
191,1.0,4.51,49.0,3.06,1011.72,si,Normal,9.81
192,0.98,10.92,171.0,4.01,1023.83,no,Cold,-6.83
193,0.52,17.71,160.0,16.1,1012.1,si,Warm,26.67
194,0.6,0.14,260.0,16.1,1013.6,si,Normal,14.96
195,0.4,12.74,38.0,16.1,1014.55,si,Warm,29.01
196,0.77,3.28,349.0,11.08,1015.32,si,Normal,6.43
197,0.86,23.31,139.0,11.21,1011.62,si,Normal,7.24
198,1.0,5.97,211.0,0.16,1008.76,si,Normal,5.43
199,0.85,12.94,159.0,6.65,1023.05,si,Normal,7.04
200,0.53,4.51,50.0,10.35,1018.19,si,Normal,12.91
201,0.42,9.69,183.0,9.98,1002.83,si,Warm,27.92
202,1.0,1.61,150.0,2.25,1000.0,si,Normal,7.22
203,0.99,5.83,275.0,13.48,1012.66,si,Normal,16.51
204,0.3,11.08,217.0,10.05,1009.08,si,Warm,36.18
205,0.97,4.31,38.0,10.98,1017.26,si,Normal,17.73
206,0.88,5.86,159.0,14.96,1015.68,si,Normal,14.7
207,0.96,2.5,340.0,1.64,1020.45,si,Cold,3.96
208,0.44,4.78,171.0,11.21,1012.29,si,Warm,31.13
209,0.65,37.03,330.0,11.27,1005.6,si,Normal,7.22
210,0.9,27.64,140.0,9.9,1014.84,si,Normal,12.85
211,0.81,7.99,337.0,15.55,1027.63,si,Normal,8.18
212,0.6,12.62,325.0,14.96,1011.6,si,Warm,20.99
213,0.77,7.37,332.0,9.9,1013.33,si,Normal,15.09
214,1.0,0.29,260.0,0.32,1010.01,si,Normal,7.78
215,0.86,6.49,30.0,4.33,1025.63,si,Cold,0.99
216,0.5,1.8,82.0,10.35,1011.56,si,Warm,29.7
217,0.93,3.86,325.0,0.52,1027.46,si,Normal,4.69
218,0.71,9.66,180.0,11.27,1026.1,no,Cold,-2.78
219,1.0,6.15,170.0,2.54,1014.9,no,Cold,-1.11
220,0.82,14.49,270.0,15.13,1016.9,si,Cold,3.89
221,0.93,30.3,161.0,11.67,994.25,si,Normal,9.26
222,1.0,0.0,0.0,2.93,1025.58,si,Cold,3.91
223,0.81,11.27,140.0,8.05,0.0,si,Normal,17.22
224,0.89,27.63,350.0,9.9,1023.67,si,Normal,7.18
225,0.5,20.41,282.0,15.83,1021.42,si,Normal,17.69
226,1.0,1.85,319.0,0.29,1017.15,si,Normal,7.16
227,0.99,2.74,205.0,3.9,1012.59,si,Normal,9.98
228,0.96,20.93,200.0,0.8,1022.8,no,Cold,-2.22
229,0.93,36.92,301.0,11.27,1003.31,si,Normal,8.84
230,0.48,9.61,290.0,16.1,1019.82,si,Normal,16.13
231,0.77,10.67,309.0,15.83,1013.57,si,Warm,20.37
232,0.95,5.67,43.0,2.32,1023.04,si,Normal,13.49
233,0.4,10.38,10.0,11.21,1015.3,si,Warm,32.73
234,0.78,7.55,90.0,9.98,1028.13,si,Normal,12.66
235,0.29,3.22,50.0,9.98,1024.2,si,Warm,27.22
236,0.93,3.33,283.0,15.83,1011.91,si,Normal,15.01
237,0.41,8.05,30.0,9.98,1022.4,si,Normal,6.11
238,0.9,3.3,263.0,15.83,1018.28,si,Normal,15.99
239,0.38,4.88,209.0,9.98,1017.9,si,Warm,27.66
240,0.74,11.01,248.0,15.83,1009.92,si,Normal,15.6
241,0.93,9.19,200.0,1.26,1031.4,no,Cold,-2.92
242,0.93,6.01,260.0,16.05,999.62,si,Normal,12.13
243,0.77,19.79,150.0,15.73,1012.83,si,Normal,6.62
244,0.86,13.38,33.0,14.17,1016.58,si,Normal,15.94
245,0.73,2.87,116.0,9.98,1012.69,si,Normal,17.81
246,0.84,22.97,148.0,14.09,1011.4,si,Normal,6.66
247,0.59,8.26,205.0,11.45,1006.41,si,Warm,27.43
248,0.87,11.19,58.0,11.45,1008.74,si,Normal,12.43
249,0.33,8.81,14.0,16.1,1018.39,si,Warm,25.12
250,0.8,14.01,202.0,9.8,1015.34,si,Normal,7.17
251,0.92,8.82,259.0,2.0,1018.25,no,Cold,-0.03
252,0.79,13.01,116.0,9.08,1032.7,si,Normal,6.78
253,0.77,19.46,282.0,11.45,1008.89,si,Normal,17.88
254,0.6,19.84,22.0,9.98,1032.74,si,Cold,2.31
255,0.7,11.27,280.0,16.1,1014.6,si,Normal,16.67
256,0.27,12.8,192.0,10.37,1011.69,si,Warm,34.78
257,0.54,4.83,150.0,16.1,1016.09,si,Normal,11.04
258,0.98,8.73,238.0,6.2,1013.06,si,Normal,17.34
259,0.44,28.93,311.0,11.4,1010.15,si,Warm,27.44
260,0.73,10.75,141.0,16.1,1012.09,si,Normal,16.55
261,0.92,12.2,150.0,4.85,1014.68,no,Cold,-1.16
262,0.98,7.18,318.0,4.06,1018.69,no,Cold,-2.76
263,0.86,0.0,0.0,7.87,1018.41,no,Cold,-0.28
264,0.9,7.5,29.0,10.22,1019.1,si,Normal,12.77
265,0.23,18.13,288.0,10.37,1020.38,si,Warm,27.67
266,0.39,7.95,306.0,9.98,1017.03,si,Warm,28.79
267,0.46,9.66,200.0,9.98,1017.4,si,Warm,27.78
268,0.89,10.69,313.0,15.83,1018.66,si,Normal,15.58
269,0.72,6.57,38.0,15.83,1025.25,si,Normal,7.78
270,0.51,16.58,351.0,10.05,1015.51,si,Warm,28.92
271,0.82,13.31,107.0,9.98,1003.8,si,Cold,3.28
272,0.81,20.3,139.0,9.87,1001.81,si,Normal,10.88
273,0.95,3.38,337.0,4.91,1015.78,si,Normal,7.4
274,0.65,9.66,330.0,9.98,1017.1,si,Warm,18.89
275,0.93,7.1,174.0,9.9,1024.25,si,Normal,6.59
276,0.92,14.49,150.0,3.06,1021.7,no,Cold,-1.67
277,0.94,12.24,193.0,0.37,1015.01,si,Normal,9.87
278,0.6,26.47,329.0,9.98,1016.34,si,Warm,22.11
279,0.71,16.94,30.0,9.98,1022.31,si,Normal,7.27
280,0.56,4.67,128.0,11.21,1018.03,si,Normal,16.99
281,0.86,17.39,260.0,12.04,1005.83,si,Normal,13.36
282,0.72,25.21,171.0,10.37,997.54,si,Normal,16.09
283,0.96,22.78,329.0,7.97,1014.48,si,Normal,7.8
284,0.82,16.9,151.0,15.83,1009.5,si,Normal,12.22
285,0.25,15.96,149.0,9.98,1013.37,si,Warm,35.12
286,0.47,15.13,146.0,10.35,1011.87,si,Warm,24.75
287,0.94,12.86,59.0,2.77,1023.97,si,Normal,10.34
288,0.64,11.35,242.0,15.83,1019.64,si,Normal,13.91
289,0.53,26.76,152.0,8.77,1017.39,si,Normal,11.97
290,0.52,15.23,269.0,9.98,1015.87,si,Warm,24.87
291,0.51,6.44,340.0,16.1,1029.9,si,Cold,1.11
292,0.88,11.13,280.0,14.96,1021.58,si,Normal,10.68
293,0.96,5.8,8.0,3.72,1021.74,si,Normal,7.27
294,0.64,3.22,260.0,9.98,1021.95,si,Normal,11.32
295,0.84,34.13,304.0,11.08,1006.21,si,Normal,9.75
296,0.73,27.58,298.0,14.96,1019.96,si,Normal,5.49
297,0.99,10.35,203.0,5.23,1020.83,no,Cold,-4.34
298,0.95,9.5,182.0,8.44,1019.59,si,Cold,0.61
299,0.96,3.08,166.0,15.83,1020.59,si,Normal,5.51
300,0.88,12.67,10.0,6.3,1031.21,no,Cold,-2.15
301,0.96,3.22,320.0,0.16,1022.14,no,Cold,-1.64
302,0.88,9.23,141.0,9.98,1022.86,si,Normal,7.94
303,0.86,10.14,160.0,4.89,1018.49,si,Normal,4.75
304,0.85,11.13,209.0,9.9,1013.98,si,Cold,2.27
305,0.34,17.15,161.0,16.1,1016.46,si,Warm,18.96
306,0.96,2.99,167.0,4.54,1028.43,si,Cold,1.77
307,0.73,6.3,300.0,9.98,1015.18,si,Normal,5.41
308,0.75,3.57,259.0,15.7,1016.99,si,Normal,8.29
309,0.92,6.49,173.0,2.69,1011.73,no,Cold,-2.77
310,0.87,6.07,140.0,14.88,1017.9,si,Normal,12.97
311,0.38,8.05,130.0,9.98,1023.1,si,Warm,23.89
312,0.99,5.97,1.0,4.28,998.5,no,Cold,-0.02
313,0.96,3.12,163.0,11.3,1016.07,si,Normal,12.81
314,0.46,31.48,301.0,15.83,1014.04,si,Warm,22.11
315,0.92,28.06,21.0,8.13,1004.49,si,Cold,0.53
316,0.72,13.68,30.0,15.73,1007.54,si,Normal,12.26
317,0.89,12.88,160.0,7.08,990.8,si,Normal,8.89
318,0.86,4.25,342.0,8.13,1021.34,si,Normal,4.93
319,1.0,14.12,34.0,7.04,999.79,si,Cold,3.79
320,0.82,23.07,190.0,9.98,1011.76,si,Normal,10.02
321,0.64,15.05,237.0,9.98,1011.61,si,Warm,21.07
322,0.78,9.61,20.0,11.61,1020.16,si,Normal,11.5
323,0.81,6.3,339.0,16.1,1012.98,si,Normal,17.76
324,0.48,14.09,279.0,10.05,1012.65,si,Warm,24.83
325,0.83,10.59,239.0,15.18,1018.91,si,Normal,6.35
326,0.42,10.34,144.0,15.55,1017.5,si,Warm,34.59
327,0.61,4.7,19.0,16.1,1034.05,si,Cold,2.57
328,0.63,7.78,4.0,10.05,1013.69,si,Cold,4.03
329,0.76,11.27,260.0,16.1,1016.6,si,Normal,7.22
330,0.81,9.23,233.0,11.27,1004.72,si,Normal,5.12
331,0.93,15.78,32.0,7.7,1007.43,si,Cold,1.04
332,0.38,12.62,304.0,10.35,1012.63,si,Warm,22.86
333,0.96,11.37,319.0,6.3,1010.69,si,Normal,17.73
334,0.95,9.34,358.0,9.98,1027.63,si,Cold,2.6
335,0.85,1.32,190.0,9.18,1015.37,si,Normal,13.62
336,0.76,15.7,210.0,9.98,1016.66,si,Cold,2.73
337,0.5,10.8,229.0,11.21,1014.96,si,Warm,24.95
338,0.68,16.02,110.0,8.13,1014.51,si,Warm,20.0
339,0.66,4.62,181.0,16.1,1016.69,si,Normal,14.07
340,0.99,4.48,347.0,10.5,1016.4,si,Cold,4.07
341,0.84,6.44,350.0,15.55,1021.95,si,Warm,22.41
342,0.8,7.91,181.0,8.13,1011.47,si,Normal,11.16
343,0.6,20.93,280.0,16.1,1007.3,si,Normal,8.33
344,0.96,3.16,75.0,14.38,1014.65,si,Normal,6.79
345,0.86,13.52,29.0,11.08,1001.33,si,Normal,9.89
346,0.83,9.29,129.0,15.73,1029.31,si,Cold,2.78
347,0.84,7.36,240.0,9.68,1012.82,no,Cold,-8.84
348,0.85,3.53,159.0,11.75,1011.69,si,Normal,13.2
349,0.48,2.95,30.0,10.21,1026.03,si,Normal,18.79
350,0.66,25.76,300.0,16.1,1016.4,no,Cold,-0.56
351,0.77,12.19,18.0,10.26,1011.06,si,Normal,13.91
352,0.47,7.84,350.0,9.98,1014.65,si,Warm,27.11
353,0.46,9.26,140.0,9.98,1011.66,si,Warm,27.76
354,0.86,8.87,319.0,6.02,1026.72,si,Cold,2.15
355,0.68,20.87,310.0,11.27,1006.34,si,Warm,24.88
356,0.96,11.93,160.0,6.81,1011.69,si,Normal,7.34
357,0.88,25.76,70.0,2.58,1004.9,no,Cold,-7.78
358,0.7,33.09,309.0,9.98,1022.31,si,Normal,5.07
359,0.5,11.46,345.0,9.98,1009.77,si,Warm,24.66
360,0.85,3.22,250.0,9.98,1014.56,si,Normal,16.28
361,0.29,10.92,101.0,9.98,1013.56,si,Warm,22.84
362,0.68,14.26,313.0,10.9,1020.1,si,Warm,22.49
363,0.76,9.53,183.0,9.98,1021.37,si,Normal,10.21
364,0.85,9.37,0.0,4.4,1024.94,si,Cold,1.09
365,0.33,7.89,195.0,10.37,1022.16,si,Warm,24.91
366,0.78,5.33,20.0,14.96,1020.22,si,Normal,16.59
367,0.72,9.58,100.0,8.13,1020.21,si,Normal,10.96
368,0.81,10.9,100.0,15.83,1005.91,si,Normal,14.24
369,1.0,4.94,79.0,3.01,1022.27,si,Normal,8.91
370,0.47,19.71,351.0,15.83,1013.41,si,Warm,27.52
371,0.83,13.83,181.0,16.1,1018.77,si,Normal,7.87
372,0.71,17.24,306.0,9.98,1026.13,si,Normal,5.92
373,0.19,12.19,172.0,15.55,1025.88,si,Warm,18.93
374,0.96,23.99,184.0,13.94,996.43,si,Normal,9.48
375,0.34,7.97,197.0,10.26,1010.63,si,Warm,30.04
376,0.77,12.35,162.0,10.0,1020.1,si,Normal,8.74
377,0.83,3.54,253.0,14.96,1015.73,si,Normal,8.76
378,0.49,13.4,318.0,11.4,1015.19,si,Normal,14.07
379,0.65,14.38,325.0,10.35,1007.42,si,Warm,19.42
380,0.84,13.54,164.0,14.96,1003.98,si,Normal,12.72
381,0.93,3.45,55.0,5.43,1013.31,si,Normal,11.41
382,0.29,15.52,168.0,9.98,1017.59,si,Warm,28.88
383,0.78,10.87,320.0,6.07,1025.36,no,Cold,-1.83
384,0.8,11.27,200.0,15.13,1013.5,si,Normal,8.33
385,0.54,8.94,152.0,10.35,1015.04,si,Warm,25.97
386,0.74,12.88,290.0,9.98,1007.1,no,Cold,-3.89
387,0.39,11.95,9.0,9.98,1020.71,si,Warm,25.02
388,0.62,10.72,340.0,15.83,1018.07,si,Normal,14.42
389,0.4,27.56,310.0,11.21,1009.49,si,Warm,27.78
390,0.77,5.04,30.0,9.98,1017.78,si,Normal,12.82
391,0.78,33.5,149.0,16.05,1020.0,no,Cold,-1.08
392,0.93,6.42,354.0,14.81,1011.61,si,Normal,18.33
393,0.93,9.66,190.0,4.03,1015.8,si,Normal,6.11
394,0.77,28.95,148.0,10.35,1013.95,si,Normal,7.83
395,0.93,9.68,292.0,4.49,1011.14,si,Normal,4.95
396,0.93,4.75,270.0,9.6,1016.24,si,Normal,10.85
397,0.52,11.27,310.0,11.27,1016.4,si,Cold,3.89
398,0.89,8.02,188.0,6.01,1025.89,no,Cold,-1.21
399,0.73,8.07,301.0,10.35,1020.57,si,Cold,2.82
400,0.64,2.96,252.0,9.98,1014.52,si,Normal,17.18
401,0.69,14.07,254.0,11.21,1008.27,si,Normal,5.05
402,1.0,14.04,198.0,1.06,1029.15,si,Cold,2.14
403,0.76,11.27,0.0,4.03,1030.3,no,Cold,-12.78
404,0.65,17.0,170.0,9.98,1019.33,si,Normal,10.05
405,0.76,7.74,342.0,11.21,1015.92,si,Normal,10.05
406,0.37,9.79,355.0,10.35,1025.17,si,Warm,22.93
407,0.93,9.27,187.0,8.86,1020.48,no,Cold,-0.27
408,0.87,9.26,150.0,11.13,1016.62,si,Normal,16.11
409,0.96,3.53,313.0,2.21,1011.66,si,Normal,8.27
410,0.92,5.14,46.0,7.08,1027.32,si,Cold,3.92
411,0.39,4.25,289.0,9.98,1014.78,si,Warm,27.22
412,0.85,19.16,302.0,11.08,1011.14,si,Normal,16.37
413,0.67,10.56,242.0,9.98,1009.52,si,Warm,22.62
414,0.95,9.53,173.0,4.93,1019.5,si,Cold,0.08
415,0.66,1.32,69.0,10.22,1015.67,si,Warm,23.74
416,0.9,6.39,143.0,9.13,1023.02,si,Normal,6.56
417,0.93,5.54,250.0,14.59,1013.02,si,Warm,19.51
418,0.93,14.01,41.0,4.35,1014.04,si,Normal,9.95
