humedad,velocidad_viento_kmh,rumbo_viento_grados,visibilidad_km,presion_mbar,lluvia,descripcion,temperatura
0.87,5.41,264.0,8.05,1002.38,no,Cold,-2.2
0.7,7.41,107.0,10.37,1018.18,si,Normal,16.18
0.64,7.89,321.0,9.98,1019.1,si,Normal,15.05
0.65,34.63,309.0,10.05,1009.67,si,Normal,6.09
0.63,24.67,279.0,11.45,1018.97,si,Normal,8.63
0.92,6.44,0.0,14.96,1017.18,si,Normal,18.0
0.85,22.09,330.0,8.13,1011.16,si,Normal,18.75
0.59,3.09,16.0,15.15,1017.25,si,Normal,12.07
0.31,12.08,238.0,10.37,1026.32,si,Normal,17.12
0.83,1.61,90.0,9.98,1018.8,si,Normal,10.0
0.93,6.3,207.0,8.13,1016.47,si,Normal,15.62
0.48,20.85,23.0,10.35,1022.32,no,Cold,-2.88
1.0,12.43,340.0,4.88,1002.93,si,Normal,7.11
0.72,7.73,219.0,9.98,1017.96,si,Warm,22.58
0.39,11.27,140.0,9.98,1012.3,si,Warm,27.22
0.82,7.02,334.0,5.68,1023.57,si,Cold,0.1
0.77,13.97,144.0,9.98,1018.87,si,Cold,2.84
0.29,3.22,110.0,9.98,1013.7,si,Warm,27.22
0.87,3.32,22.0,9.98,1021.99,si,Normal,14.82
0.77,32.81,10.0,9.98,1016.11,si,Normal,7.32
0.93,3.28,225.0,10.06,1012.18,si,Normal,14.23
0.75,13.8,175.0,11.75,1019.07,si,Normal,9.38
0.41,20.24,21.0,9.98,1011.92,si,Warm,29.84
0.75,3.16,177.0,16.1,1016.09,si,Normal,6.63
0.9,13.78,19.0,3.98,1015.08,si,Normal,6.02
0.9,6.41,19.0,7.87,1025.67,si,Cold,1.74
0.87,10.9,189.0,4.85,1017.76,si,Normal,7.11
0.46,11.45,10.0,11.32,1007.18,si,Warm,19.83
0.64,16.31,8.0,9.98,1023.6,si,Normal,15.83
0.85,10.63,136.0,12.12,1018.12,si,Normal,17.57
0.85,5.06,87.0,15.83,1015.64,si,Warm,22.55
0.44,16.31,309.0,10.35,1020.52,si,Warm,29.95
0.9,17.69,310.0,15.13,1015.02,si,Normal,12.71
0.88,0.52,280.0,9.98,1013.14,no,Cold,-1.13
0.92,9.66,250.0,1.93,1022.2,no,Cold,0.0
1.0,1.64,76.0,0.6,1018.87,si,Normal,16.16
0.89,17.71,340.0,15.13,1021.5,si,Normal,6.67
0.71,13.15,281.0,14.39,1008.44,si,Normal,7.27
0.83,16.1,150.0,9.98,1013.5,si,Normal,7.78
0.8,16.94,212.0,9.63,1030.45,si,Cold,2.14
0.35,4.49,145.0,16.1,1023.39,si,Normal,17.8
1.0,4.81,156.0,1.96,1008.86,si,Cold,0.09
0.28,9.63,326.0,9.98,1022.44,si,Warm,32.71
0.73,5.25,195.0,9.98,1024.59,no,Cold,-0.3
0.29,12.8,121.0,9.98,1015.78,si,Warm,22.73
0.63,11.21,301.0,9.98,1010.03,si,Warm,21.09
0.34,12.56,340.0,16.1,1019.31,si,Warm,23.82
0.95,6.47,256.0,5.22,1016.22,no,Cold,-2.27
0.69,25.0,173.0,11.59,1008.43,si,Warm,19.93
0.71,10.59,350.0,15.83,1028.07,no,Cold,-7.94
0.99,1.06,184.0,3.62,1013.21,si,Normal,6.14
0.2,2.72,141.0,10.35,1016.78,si,Warm,35.02
0.92,2.96,204.0,1.45,1000.87,si,Cold,1.11
0.88,12.22,348.0,8.26,1028.52,si,Normal,8.78
0.86,10.74,137.0,9.71,1012.9,si,Normal,5.44
0.34,0.4,238.0,16.1,1011.2,si,Warm,26.02
0.92,5.35,333.0,10.05,1013.72,si,Normal,18.27
0.53,6.3,351.0,11.45,1008.26,si,Warm,27.24
1.0,9.4,219.0,0.31,1033.92,no,Cold,-1.08
0.96,3.2,339.0,0.18,1023.64,si,Cold,4.28
0.94,1.27,317.0,1.77,1025.11,si,Normal,4.68
0.73,20.56,159.0,10.35,1008.8,si,Normal,9.98
0.46,4.6,60.0,9.98,1012.48,si,Warm,24.97
0.68,23.89,319.0,8.19,1024.88,si,Normal,14.73
0.82,12.19,329.0,7.97,1015.58,si,Normal,5.02
0.62,11.14,180.0,9.98,1019.53,si,Normal,15.15
0.76,1.43,44.0,11.4,1023.26,si,Normal,10.71
0.8,8.42,228.0,7.29,1019.96,no,Cold,-4.83
0.65,4.48,331.0,11.27,1011.0,si,Warm,26.15
0.93,9.32,108.0,3.11,1022.69,no,Cold,-2.76
0.69,11.27,80.0,11.27,1032.6,no,Cold,-1.11
0.78,13.99,329.0,15.87,1017.06,si,Normal,17.73
0.93,5.04,301.0,6.12,1014.12,si,Normal,8.86
0.52,17.71,170.0,9.98,1018.4,si,Normal,12.22
0.92,15.34,150.0,9.76,1010.25,si,Cold,2.11
0.87,19.93,150.0,14.91,1002.94,si,Normal,10.39
0.8,17.16,181.0,14.68,1008.72,si,Cold,2.27
0.89,3.22,230.0,16.1,1017.3,si,Cold,2.22
0.66,6.3,9.0,14.96,1005.41,si,Normal,8.19
0.72,14.1,232.0,0.0,0.0,si,Cold,2.35
0.44,12.96,40.0,9.98,1016.72,si,Normal,16.04
0.48,7.63,289.0,11.21,1017.85,si,Warm,22.17
0.37,9.35,17.0,9.98,1015.79,si,Warm,30.09
0.86,14.55,107.0,9.9,1019.98,si,Normal,10.02
0.25,7.2,137.0,16.1,1013.18,si,Warm,33.96
0.63,21.94,295.0,15.55,1007.15,si,Normal,14.06
0.48,10.88,129.0,15.83,1017.04,si,Warm,29.86
0.61,17.71,340.0,11.27,1013.9,si,Warm,18.89
0.77,3.64,276.0,9.98,1017.93,si,Normal,8.84
0.88,3.65,112.0,5.09,1027.48,si,Normal,8.74
0.31,9.66,300.0,9.98,1031.4,si,Normal,13.89
0.83,20.56,309.0,9.98,1013.33,si,Cold,3.77
0.57,8.0,24.0,11.45,1011.76,si,Normal,17.56
0.88,3.27,324.0,2.16,1023.86,no,Cold,-1.43
0.65,4.23,11.0,10.35,1021.55,si,Warm,21.52
0.83,3.06,179.0,4.91,1026.39,si,Cold,0.33
0.77,9.56,254.0,9.98,1026.78,si,Normal,11.07
0.38,15.33,341.0,10.26,1020.69,si,Warm,27.83
0.9,0.0,0.0,15.83,1023.21,si,Normal,16.6
0.84,3.16,158.0,15.87,1016.36,si,Normal,15.62
0.58,13.28,189.0,15.26,1012.91,si,Warm,26.13
0.52,17.9,320.0,10.4,1013.16,si,Warm,21.14
0.33,7.24,135.0,9.98,1016.26,si,Warm,28.91
0.63,21.67,10.0,9.98,1021.4,si,Normal,17.13
0.71,20.98,301.0,11.27,1017.38,si,Normal,12.78
0.29,9.47,352.0,10.35,1018.18,si,Warm,30.64
0.93,9.66,181.0,9.0,1020.13,si,Cold,0.59
0.81,9.29,139.0,9.98,1028.0,si,Normal,11.09
0.93,7.5,101.0,0.79,1022.49,si,Normal,11.14
0.53,12.57,10.0,9.98,1018.46,si,Warm,22.2
0.31,12.35,351.0,11.27,1018.51,si,Warm,31.93
0.92,7.05,253.0,15.87,1018.68,si,Normal,11.76
0.76,11.32,209.0,15.83,1006.87,si,Normal,8.41
0.34,8.05,150.0,9.98,1016.0,si,Warm,27.22
0.89,32.2,330.0,16.1,999.5,si,Normal,10.0
0.93,3.7,48.0,7.45,1021.0,si,Normal,6.08
0.95,3.33,112.0,9.9,1013.0,si,Normal,10.67
0.81,13.62,150.0,15.52,1011.01,si,Normal,11.19
0.52,19.92,328.0,11.27,1011.37,si,Normal,12.87
0.73,3.22,90.0,15.83,1020.3,si,Normal,15.33
0.6,20.69,281.0,9.98,1024.11,si,Cold,2.22
0.46,4.88,51.0,11.27,1027.29,si,Cold,2.17
0.96,10.96,115.0,4.33,1028.57,no,Cold,-1.77
1.0,4.51,49.0,3.06,1011.72,si,Normal,9.81
0.98,10.92,171.0,4.01,1023.83,no,Cold,-6.83
0.52,17.71,160.0,16.1,1012.1,si,Warm,26.67
0.6,0.14,260.0,16.1,1013.6,si,Normal,14.96
0.4,12.74,38.0,16.1,1014.55,si,Warm,29.01
0.77,3.28,349.0,11.08,1015.32,si,Normal,6.43
0.86,23.31,139.0,11.21,1011.62,si,Normal,7.24
1.0,5.97,211.0,0.16,1008.76,si,Normal,5.43
0.85,12.94,159.0,6.65,1023.05,si,Normal,7.04
0.53,4.51,50.0,10.35,1018.19,si,Normal,12.91
0.42,9.69,183.0,9.98,1002.83,si,Warm,27.92
1.0,1.61,150.0,2.25,1000.0,si,Normal,7.22
0.99,5.83,275.0,13.48,1012.66,si,Normal,16.51
0.3,11.08,217.0,10.05,1009.08,si,Warm,36.18
0.97,4.31,38.0,10.98,1017.26,si,Normal,17.73
0.88,5.86,159.0,14.96,1015.68,si,Normal,14.7
0.96,2.5,340.0,1.64,1020.45,si,Cold,3.96
0.44,4.78,171.0,11.21,1012.29,si,Warm,31.13
0.65,37.03,330.0,11.27,1005.6,si,Normal,7.22
0.9,27.64,140.0,9.9,1014.84,si,Normal,12.85
0.81,7.99,337.0,15.55,1027.63,si,Normal,8.18
0.6,12.62,325.0,14.96,1011.6,si,Warm,20.99
0.77,7.37,332.0,9.9,1013.33,si,Normal,15.09
1.0,0.29,260.0,0.32,1010.01,si,Normal,7.78
0.86,6.49,30.0,4.33,1025.63,si,Cold,0.99
0.5,1.8,82.0,10.35,1011.56,si,Warm,29.7
0.93,3.86,325.0,0.52,1027.46,si,Normal,4.69
0.71,9.66,180.0,11.27,1026.1,no,Cold,-2.78
1.0,6.15,170.0,2.54,1014.9,no,Cold,-1.11
0.82,14.49,270.0,15.13,1016.9,si,Cold,3.89
0.93,30.3,161.0,11.67,994.25,si,Normal,9.26
1.0,0.0,0.0,2.93,1025.58,si,Cold,3.91
0.81,11.27,140.0,8.05,0.0,si,Normal,17.22
0.89,27.63,350.0,9.9,1023.67,si,Normal,7.18
0.5,20.41,282.0,15.83,1021.42,si,Normal,17.69
1.0,1.85,319.0,0.29,1017.15,si,Normal,7.16
0.99,2.74,205.0,3.9,1012.59,si,Normal,9.98
0.96,20.93,200.0,0.8,1022.8,no,Cold,-2.22
0.93,36.92,301.0,11.27,1003.31,si,Normal,8.84
0.48,9.61,290.0,16.1,1019.82,si,Normal,16.13
0.77,10.67,309.0,15.83,1013.57,si,Warm,20.37
0.95,5.67,43.0,2.32,1023.04,si,Normal,13.49
0.4,10.38,10.0,11.21,1015.3,si,Warm,32.73
0.78,7.55,90.0,9.98,1028.13,si,Normal,12.66
0.29,3.22,50.0,9.98,1024.2,si,Warm,27.22
0.93,3.33,283.0,15.83,1011.91,si,Normal,15.01
0.41,8.05,30.0,9.98,1022.4,si,Normal,6.11
0.9,3.3,263.0,15.83,1018.28,si,Normal,15.99
0.38,4.88,209.0,9.98,1017.9,si,Warm,27.66
0.74,11.01,248.0,15.83,1009.92,si,Normal,15.6
0.93,9.19,200.0,1.26,1031.4,no,Cold,-2.92
0.93,6.01,260.0,16.05,999.62,si,Normal,12.13
0.77,19.79,150.0,15.73,1012.83,si,Normal,6.62
0.86,13.38,33.0,14.17,1016.58,si,Normal,15.94
0.73,2.87,116.0,9.98,1012.69,si,Normal,17.81
0.84,22.97,148.0,14.09,1011.4,si,Normal,6.66
0.59,8.26,205.0,11.45,1006.41,si,Warm,27.43
0.87,11.19,58.0,11.45,1008.74,si,Normal,12.43
0.33,8.81,14.0,16.1,1018.39,si,Warm,25.12
0.8,14.01,202.0,9.8,1015.34,si,Normal,7.17
0.92,8.82,259.0,2.0,1018.25,no,Cold,-0.03
0.79,13.01,116.0,9.08,1032.7,si,Normal,6.78
0.77,19.46,282.0,11.45,1008.89,si,Normal,17.88
0.6,19.84,22.0,9.98,1032.74,si,Cold,2.31
0.7,11.27,280.0,16.1,1014.6,si,Normal,16.67
0.27,12.8,192.0,10.37,1011.69,si,Warm,34.78
0.54,4.83,150.0,16.1,1016.09,si,Normal,11.04
0.98,8.73,238.0,6.2,1013.06,si,Normal,17.34
0.44,28.93,311.0,11.4,1010.15,si,Warm,27.44
0.73,10.75,141.0,16.1,1012.09,si,Normal,16.55
0.92,12.2,150.0,4.85,1014.68,no,Cold,-1.16
0.98,7.18,318.0,4.06,1018.69,no,Cold,-2.76
0.86,0.0,0.0,7.87,1018.41,no,Cold,-0.28
0.9,7.5,29.0,10.22,1019.1,si,Normal,12.77
0.23,18.13,288.0,10.37,1020.38,si,Warm,27.67
0.39,7.95,306.0,9.98,1017.03,si,Warm,28.79
0.46,9.66,200.0,9.98,1017.4,si,Warm,27.78
0.89,10.69,313.0,15.83,1018.66,si,Normal,15.58
0.72,6.57,38.0,15.83,1025.25,si,Normal,7.78
0.51,16.58,351.0,10.05,1015.51,si,Warm,28.92
0.82,13.31,107.0,9.98,1003.8,si,Cold,3.28
0.81,20.3,139.0,9.87,1001.81,si,Normal,10.88
0.95,3.38,337.0,4.91,1015.78,si,Normal,7.4
0.65,9.66,330.0,9.98,1017.1,si,Warm,18.89
0.93,7.1,174.0,9.9,1024.25,si,Normal,6.59
0.92,14.49,150.0,3.06,1021.7,no,Cold,-1.67
0.94,12.24,193.0,0.37,1015.01,si,Normal,9.87
0.6,26.47,329.0,9.98,1016.34,si,Warm,22.11
0.71,16.94,30.0,9.98,1022.31,si,Normal,7.27
0.56,4.67,128.0,11.21,1018.03,si,Normal,16.99
0.86,17.39,260.0,12.04,1005.83,si,Normal,13.36
0.72,25.21,171.0,10.37,997.54,si,Normal,16.09
0.96,22.78,329.0,7.97,1014.48,si,Normal,7.8
0.82,16.9,151.0,15.83,1009.5,si,Normal,12.22
0.25,15.96,149.0,9.98,1013.37,si,Warm,35.12
0.47,15.13,146.0,10.35,1011.87,si,Warm,24.75
0.94,12.86,59.0,2.77,1023.97,si,Normal,10.34
0.64,11.35,242.0,15.83,1019.64,si,Normal,13.91
0.53,26.76,152.0,8.77,1017.39,si,Normal,11.97
0.52,15.23,269.0,9.98,1015.87,si,Warm,24.87
0.51,6.44,340.0,16.1,1029.9,si,Cold,1.11
0.88,11.13,280.0,14.96,1021.58,si,Normal,10.68
0.96,5.8,8.0,3.72,1021.74,si,Normal,7.27
0.64,3.22,260.0,9.98,1021.95,si,Normal,11.32
0.84,34.13,304.0,11.08,1006.21,si,Normal,9.75
0.73,27.58,298.0,14.96,1019.96,si,Normal,5.49
0.99,10.35,203.0,5.23,1020.83,no,Cold,-4.34
0.95,9.5,182.0,8.44,1019.59,si,Cold,0.61
0.96,3.08,166.0,15.83,1020.59,si,Normal,5.51
0.88,12.67,10.0,6.3,1031.21,no,Cold,-2.15
0.96,3.22,320.0,0.16,1022.14,no,Cold,-1.64
0.88,9.23,141.0,9.98,1022.86,si,Normal,7.94
0.86,10.14,160.0,4.89,1018.49,si,Normal,4.75
0.85,11.13,209.0,9.9,1013.98,si,Cold,2.27
0.34,17.15,161.0,16.1,1016.46,si,Warm,18.96
0.96,2.99,167.0,4.54,1028.43,si,Cold,1.77
0.73,6.3,300.0,9.98,1015.18,si,Normal,5.41
0.75,3.57,259.0,15.7,1016.99,si,Normal,8.29
0.92,6.49,173.0,2.69,1011.73,no,Cold,-2.77
0.87,6.07,140.0,14.88,1017.9,si,Normal,12.97
0.38,8.05,130.0,9.98,1023.1,si,Warm,23.89
0.99,5.97,1.0,4.28,998.5,no,Cold,-0.02
0.96,3.12,163.0,11.3,1016.07,si,Normal,12.81
0.46,31.48,301.0,15.83,1014.04,si,Warm,22.11
0.92,28.06,21.0,8.13,1004.49,si,Cold,0.53
0.72,13.68,30.0,15.73,1007.54,si,Normal,12.26
0.89,12.88,160.0,7.08,990.8,si,Normal,8.89
0.86,4.25,342.0,8.13,1021.34,si,Normal,4.93
1.0,14.12,34.0,7.04,999.79,si,Cold,3.79
0.82,23.07,190.0,9.98,1011.76,si,Normal,10.02
0.64,15.05,237.0,9.98,1011.61,si,Warm,21.07
0.78,9.61,20.0,11.61,1020.16,si,Normal,11.5
0.81,6.3,339.0,16.1,1012.98,si,Normal,17.76
0.48,14.09,279.0,10.05,1012.65,si,Warm,24.83
0.83,10.59,239.0,15.18,1018.91,si,Normal,6.35
0.42,10.34,144.0,15.55,1017.5,si,Warm,34.59
0.61,4.7,19.0,16.1,1034.05,si,Cold,2.57
0.63,7.78,4.0,10.05,1013.69,si,Cold,4.03
0.76,11.27,260.0,16.1,1016.6,si,Normal,7.22
0.81,9.23,233.0,11.27,1004.72,si,Normal,5.12
0.93,15.78,32.0,7.7,1007.43,si,Cold,1.04
0.38,12.62,304.0,10.35,1012.63,si,Warm,22.86
0.96,11.37,319.0,6.3,1010.69,si,Normal,17.73
0.95,9.34,358.0,9.98,1027.63,si,Cold,2.6
0.85,1.32,190.0,9.18,1015.37,si,Normal,13.62
0.76,15.7,210.0,9.98,1016.66,si,Cold,2.73
0.5,10.8,229.0,11.21,1014.96,si,Warm,24.95
0.68,16.02,110.0,8.13,1014.51,si,Warm,20.0
0.66,4.62,181.0,16.1,1016.69,si,Normal,14.07
0.99,4.48,347.0,10.5,1016.4,si,Cold,4.07
0.84,6.44,350.0,15.55,1021.95,si,Warm,22.41
0.8,7.91,181.0,8.13,1011.47,si,Normal,11.16
0.6,20.93,280.0,16.1,1007.3,si,Normal,8.33
0.96,3.16,75.0,14.38,1014.65,si,Normal,6.79
0.86,13.52,29.0,11.08,1001.33,si,Normal,9.89
0.83,9.29,129.0,15.73,1029.31,si,Cold,2.78
0.84,7.36,240.0,9.68,1012.82,no,Cold,-8.84
0.85,3.53,159.0,11.75,1011.69,si,Normal,13.2
0.48,2.95,30.0,10.21,1026.03,si,Normal,18.79
0.66,25.76,300.0,16.1,1016.4,no,Cold,-0.56
0.77,12.19,18.0,10.26,1011.06,si,Normal,13.91
0.47,7.84,350.0,9.98,1014.65,si,Warm,27.11
0.46,9.26,140.0,9.98,1011.66,si,Warm,27.76
0.86,8.87,319.0,6.02,1026.72,si,Cold,2.15
0.68,20.87,310.0,11.27,1006.34,si,Warm,24.88
0.96,11.93,160.0,6.81,1011.69,si,Normal,7.34
0.88,25.76,70.0,2.58,1004.9,no,Cold,-7.78
0.7,33.09,309.0,9.98,1022.31,si,Normal,5.07
0.5,11.46,345.0,9.98,1009.77,si,Warm,24.66
0.85,3.22,250.0,9.98,1014.56,si,Normal,16.28
0.29,10.92,101.0,9.98,1013.56,si,Warm,22.84
0.68,14.26,313.0,10.9,1020.1,si,Warm,22.49
0.76,9.53,183.0,9.98,1021.37,si,Normal,10.21
0.85,9.37,0.0,4.4,1024.94,si,Cold,1.09
0.33,7.89,195.0,10.37,1022.16,si,Warm,24.91
0.78,5.33,20.0,14.96,1020.22,si,Normal,16.59
0.72,9.58,100.0,8.13,1020.21,si,Normal,10.96
0.81,10.9,100.0,15.83,1005.91,si,Normal,14.24
1.0,4.94,79.0,3.01,1022.27,si,Normal,8.91
0.47,19.71,351.0,15.83,1013.41,si,Warm,27.52
0.83,13.83,181.0,16.1,1018.77,si,Normal,7.87
0.71,17.24,306.0,9.98,1026.13,si,Normal,5.92
0.19,12.19,172.0,15.55,1025.88,si,Warm,18.93
0.96,23.99,184.0,13.94,996.43,si,Normal,9.48
0.34,7.97,197.0,10.26,1010.63,si,Warm,30.04
0.77,12.35,162.0,10.0,1020.1,si,Normal,8.74
0.83,3.54,253.0,14.96,1015.73,si,Normal,8.76
0.49,13.4,318.0,11.4,1015.19,si,Normal,14.07
0.65,14.38,325.0,10.35,1007.42,si,Warm,19.42
0.84,13.54,164.0,14.96,1003.98,si,Normal,12.72
0.93,3.45,55.0,5.43,1013.31,si,Normal,11.41
0.29,15.52,168.0,9.98,1017.59,si,Warm,28.88
0.78,10.87,320.0,6.07,1025.36,no,Cold,-1.83
0.8,11.27,200.0,15.13,1013.5,si,Normal,8.33
0.54,8.94,152.0,10.35,1015.04,si,Warm,25.97
0.74,12.88,290.0,9.98,1007.1,no,Cold,-3.89
0.39,11.95,9.0,9.98,1020.71,si,Warm,25.02
0.62,10.72,340.0,15.83,1018.07,si,Normal,14.42
0.4,27.56,310.0,11.21,1009.49,si,Warm,27.78
0.77,5.04,30.0,9.98,1017.78,si,Normal,12.82
0.78,33.5,149.0,16.05,1020.0,no,Cold,-1.08
0.93,6.42,354.0,14.81,1011.61,si,Normal,18.33
0.93,9.66,190.0,4.03,1015.8,si,Normal,6.11
0.77,28.95,148.0,10.35,1013.95,si,Normal,7.83
0.93,9.68,292.0,4.49,1011.14,si,Normal,4.95
0.93,4.75,270.0,9.6,1016.24,si,Normal,10.85
0.52,11.27,310.0,11.27,1016.4,si,Cold,3.89
0.89,8.02,188.0,6.01,1025.89,no,Cold,-1.21
0.73,8.07,301.0,10.35,1020.57,si,Cold,2.82
0.64,2.96,252.0,9.98,1014.52,si,Normal,17.18
0.69,14.07,254.0,11.21,1008.27,si,Normal,5.05
1.0,14.04,198.0,1.06,1029.15,si,Cold,2.14
0.76,11.27,0.0,4.03,1030.3,no,Cold,-12.78
0.65,17.0,170.0,9.98,1019.33,si,Normal,10.05
0.76,7.74,342.0,11.21,1015.92,si,Normal,10.05
0.37,9.79,355.0,10.35,1025.17,si,Warm,22.93
0.93,9.27,187.0,8.86,1020.48,no,Cold,-0.27
0.87,9.26,150.0,11.13,1016.62,si,Normal,16.11
0.96,3.53,313.0,2.21,1011.66,si,Normal,8.27
0.92,5.14,46.0,7.08,1027.32,si,Cold,3.92
0.39,4.25,289.0,9.98,1014.78,si,Warm,27.22
0.85,19.16,302.0,11.08,1011.14,si,Normal,16.37
0.67,10.56,242.0,9.98,1009.52,si,Warm,22.62
0.95,9.53,173.0,4.93,1019.5,si,Cold,0.08
0.66,1.32,69.0,10.22,1015.67,si,Warm,23.74
0.9,6.39,143.0,9.13,1023.02,si,Normal,6.56
0.93,5.54,250.0,14.59,1013.02,si,Warm,19.51
0.93,14.01,41.0,4.35,1014.04,si,Normal,9.95
0.83,15.52,150.0,9.9,1013.96,si,Normal,7.85
0.45,3.16,8.0,9.98,1029.6,si,Normal,14.91
0.86,3.22,340.0,14.88,1013.76,si,Warm,23.8
1.0,3.27,224.0,0.9,1018.49,no,Cold,-3.86
0.46,13.96,189.0,15.83,1008.48,si,Warm,28.37
0.9,9.08,137.0,9.32,1021.76,si,Normal,10.92
0.87,5.55,159.0,9.76,1014.59,si,Normal,7.15
0.73,13.14,308.0,15.18,1017.6,si,Normal,6.93
0.49,20.7,243.0,10.4,1009.63,si,Warm,24.8
0.61,10.34,120.0,16.1,1013.13,si,Warm,19.65
0.84,4.27,41.0,9.98,1023.03,si,Normal,7.68
0.88,13.88,151.0,9.98,1010.89,si,Normal,8.39
0.83,13.86,329.0,16.05,1019.24,si,Normal,15.0
0.38,17.45,244.0,11.27,1010.17,si,Warm,21.06
0.96,12.4,18.0,4.52,1014.9,si,Cold,0.03
0.89,14.26,348.0,11.27,1021.95,si,Normal,7.71
0.24,8.05,120.0,9.98,1013.8,si,Warm,23.89
0.77,6.01,280.0,15.83,1023.56,si,Normal,9.93
0.63,3.22,40.0,16.1,1016.0,si,Normal,9.44
0.85,12.19,160.0,6.04,1019.64,si,Cold,4.29
0.34,10.26,137.0,10.58,1011.43,si,Warm,30.11
0.94,8.19,300.0,11.04,1018.33,si,Normal,13.68
0.32,24.94,20.0,10.35,1013.9,si,Normal,10.92
0.72,23.3,149.0,9.98,1022.4,si,Normal,8.82
0.56,4.78,152.0,10.35,1015.43,si,Warm,27.17
0.9,6.3,252.0,16.1,1010.59,si,Normal,17.04
0.5,15.31,99.0,11.4,998.87,si,Warm,20.93
