id,sitio,populacion,sexo,cabeza,craneo,largo_total,cola,pie,oreja,ojo,torax,vientre,edad
58,sitio 4,other,m,94.5,64.2,91.0,39.0,66.5,46.4,14.4,30.5,33.0,3.0
59,sitio 4,Vic,m,102.5,62.8,96.0,40.0,73.2,44.5,14.7,32.0,36.0,2.0
60,sitio 4,other,f,91.3,57.7,88.0,39.0,63.1,47.0,14.4,26.0,30.0,2.0
61,sitio 5,other,m,95.7,59.0,86.0,38.0,63.1,44.9,15.0,26.5,31.0,7.0
62,sitio 5,other,f,91.3,58.0,90.5,39.0,65.5,41.3,16.0,27.0,32.0,3.0
63,sitio 5,other,f,92.0,56.4,88.5,38.0,64.1,46.3,15.2,25.5,28.5,6.0
64,sitio 5,other,f,96.9,56.5,89.5,38.5,63.0,45.1,17.1,25.5,33.0,3.0
65,sitio 5,other,f,93.5,57.4,88.5,38.0,68.2,41.7,14.0,29.0,38.5,5.0
66,sitio 5,other,f,90.4,55.8,86.0,36.5,63.2,44.2,15.7,26.5,34.0,3.0
67,sitio 5,other,,,,,,,,16.5,27.5,29.5,4.0
68,sitio 5,other,m,94.1,56.0,88.5,38.0,65.9,43.1,17.4,27.0,30.0,5.0
69,sitio 5,other,m,98.0,55.6,88.0,37.5,65.0,45.6,15.0,28.5,34.0,5.0
70,sitio 5,other,f,91.9,56.4,87.0,38.0,65.4,44.1,13.0,27.0,34.0,7.0
71,sitio 5,other,m,92.8,57.6,90.0,40.0,65.7,42.8,15.0,27.5,34.0,6.0
72,sitio 5,other,m,85.9,52.4,80.5,35.0,62.0,42.4,14.1,25.5,30.0,1.0
73,sitio 5,other,m,82.5,52.3,82.0,36.5,65.7,44.7,16.0,23.5,28.0,1.0
74,sitio 6,other,f,88.7,52.0,83.0,38.0,61.5,45.9,14.7,26.0,34.0,4.0
75,sitio 6,other,m,93.8,58.1,89.0,38.0,66.2,45.6,16.9,26.0,33.5,6.0
76,sitio 6,other,m,92.4,56.8,89.0,41.0,64.5,46.4,17.8,26.0,33.0,5.0
77,sitio 6,other,m,93.6,56.2,84.0,36.0,62.8,42.9,16.2,25.0,35.0,6.0
78,sitio 6,other,m,86.5,51.0,81.0,36.5,63.0,44.3,13.2,23.0,28.0,1.0
79,sitio 6,other,m,85.8,50.0,81.0,36.5,62.8,43.0,14.8,22.0,28.5,1.0
80,sitio 6,other,m,86.7,52.6,84.0,38.0,62.3,44.8,15.0,23.5,30.5,1.0
81,sitio 6,other,m,90.6,56.0,85.5,38.0,65.6,41.7,17.0,27.5,35.0,3.0
82,sitio 6,other,f,86.0,54.0,82.0,36.5,60.7,42.9,15.4,26.0,32.0,4.0
83,sitio 6,other,f,90.0,53.8,81.5,36.0,62.0,43.3,14.0,25.0,29.0,3.0
84,sitio 6,other,m,88.4,54.6,80.5,36.0,62.6,43.6,16.3,25.0,28.5,3.0
85,sitio 6,other,m,89.5,56.2,92.0,40.5,65.6,43.5,14.5,27.0,31.5,3.0
86,sitio 6,Vic,f,88.2,53.2,86.5,38.5,60.3,43.7,13.6,26.0,31.0,3.0
87,sitio 7,other,m,98.5,60.7,93.0,41.5,71.7,46.8,15.0,26.0,36.0,2.0
88,sitio 7,other,,,,,,,,16.0,25.5,31.5,2.0
89,sitio 7,other,m,97.7,58.4,84.5,35.0,64.4,46.2,14.4,29.0,30.5,6.0
90,sitio 7,other,m,92.6,54.6,85.0,38.5,69.8,44.8,14.5,25.5,32.5,3.0
91,sitio 7,other,m,97.8,59.6,89.0,38.0,65.5,48.0,15.0,26.0,32.0,3.0
92,sitio 7,other,m,90.7,56.3,85.0,37.0,67.6,46.8,14.5,25.5,31.0,2.0
93,sitio 7,other,m,89.2,54.0,82.0,38.0,63.8,44.9,12.8,24.0,31.0,3.0
94,sitio 7,other,m,91.8,57.6,84.0,35.5,64.2,45.1,14.4,29.0,35.0,7.0
95,sitio 7,other,m,91.6,56.6,88.5,37.5,64.5,45.4,14.9,27.0,31.0,4.0
96,sitio 7,other,m,94.8,55.7,83.0,38.0,66.5,47.7,14.0,25.0,33.0,4.0
97,sitio 7,other,m,91.0,53.1,86.0,38.0,63.8,46.0,14.5,25.0,31.5,3.0
98,sitio 7,other,m,93.2,68.6,84.0,35.0,65.6,44.3,14.5,28.5,32.0,5.0
99,sitio 7,other,,,,,,,,14.0,28.0,35.0,3.0
100,sitio 7,other,m,89.5,56.0,81.5,36.5,66.0,46.8,14.8,23.0,27.0,1.0
101,sitio 7,other,m,88.6,54.7,82.5,39.0,64.4,48.0,14.0,25.0,33.0,1.0
102,sitio 7,other,f,92.4,55.0,89.0,38.0,63.5,45.4,13.0,25.0,30.0,6.0
103,sitio 7,other,m,91.5,55.2,82.5,36.5,62.9,45.9,15.4,25.0,29.0,4.0
104,sitio 7,other,f,93.6,59.9,89.0,40.0,67.6,46.0,14.8,28.5,33.5,3.0
